Tile Index,Hours,Area
EP472_000001,0,0
EP472_000002,0,0
EP472_000003,0,0
EP472_000004,0,0
EP472_000005,0,0
EP472_000006,0.04,0.08
EP472_000007,0.245,0.49
EP472_000008,0.265,0.53
EP472_000009,0.25,0.5
EP472_000010,0.09,0.18
EP472_000011,0,0
EP472_000012,0,0
EP472_000013,0,0
EP472_000014,0.28,0.56
EP472_000015,0.5,1
EP472_000016,0.5,1
EP472_000017,0.5,1
EP472_000018,0.345,0.69
EP472_000019,0.295,0.59
EP472_000020,0.05,0.1
EP472_000021,0,0
EP472_000022,0,0
EP472_000023,0.055,0.11
EP472_000024,0.48,0.96
EP472_000025,0.5,1
EP472_000026,0.5,1
EP472_000027,0.5,1
EP472_000028,0.5,1
EP472_000029,0.5,1
EP472_000030,0.46,0.92
EP472_000031,0.11,0.22
EP472_000032,0,0
EP472_000033,0.05,0.1
EP472_000034,0.46,0.92
EP472_000035,0.5,1
EP472_000036,0.5,1
EP472_000037,0.5,1
EP472_000038,0.5,1
EP472_000039,0.5,1
EP472_000040,1,0.99
EP472_000041,0.41,0.82
EP472_000042,0.19,0.38
EP472_000043,0,0
EP472_000044,0.235,0.47
EP472_000045,0.5,1
EP472_000046,0.5,1
EP472_000047,0.5,1
EP472_000048,0.5,1
EP472_000049,0.5,1
EP472_000050,0.5,1
EP472_000051,6,0.59
EP472_000052,0,0
EP472_000053,0,0
EP472_000054,0,0
EP472_000055,0.025,0.05
EP472_000056,0.15,0.3
EP472_000057,0.245,0.49
EP472_000058,0.27,0.54
EP472_000059,0.5,1
EP472_000060,0.49,0.98
EP472_000061,0.45,0.9
EP472_000062,0.2,0.4
EP472_000063,0,0
EP472_000064,0,0
EP472_000065,0,0
EP472_000066,0.385,0.77
EP472_000067,0.11,0.22
EP472_000068,0.105,0.21
EP472_000069,0.05,0.1
EP472_000070,0,0
EP472_000071,0,0
EP472_000072,0,0
EP472_000073,0,0
EP472_000074,0,0
